"id","nome","municipio","uf","responsabilidade","logradouro","termo_convenio","problema_detectado"
"25088","CRECHE LAGO","Casa Nova","BA","Municipal","distrito de recreio","2585/2012","paralisada"
"25089","CRECHE PAU APIQUE","Casa Nova","BA","Municipal","distrito de pau apique","2585/2012","paralisada"
"25090","BAIRRO SÃO FRANCISCO","Casa Nova","BA","Municipal","bairro são francisco","2585/2012","paralisada"
"5431","750015 - CEEP Pedro Boaretto Neto - Ampl - Cascavel/PR","Cascavel","PR","Estadual","rua natal","750015/2008","paralisada"
"10961","658385 - CE Wilson Jofre - Ampl - Cascavel/PR","Cascavel","PR","Estadual","rio grande do sul","658385/2009","paralisada"
"29233","EEM CASCAVEL","Cascavel","CE","Estadual","av. 02","7415/2015","atrasada"
"1006976","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001 - Castanhal - PA","Castanhal","PA","Municipal","estrada do pacuquara","7383/2013","atrasada"
"1009252","TITANLÂNDIA II - Castanhal - PA","Castanhal","PA","Municipal","travessa quatro","11580/2014","atrasada"
"1010665","PAC 2 - CRECHE/PRÉ-ESCOLA  004 - Castanhal - PA","Castanhal","PA","Municipal","ramal de iracema","7725/2013","atrasada"
"19741","ESCOLA INFANTIL SANTA BARBARA","Castelo","ES","Municipal",NA,"1790/2011","paralisada; sem endereço"
"1013294","Proinfância Taquara Preta","Cataguases","MG","Municipal","rua maria alcina","9922/2014","atrasada"
"28324","701596/11 - Escola Profissionalizante - CEP - Catalão/GO","Catalão","GO","Estadual","rua nassin agel","701596/2011","atrasada"
"1001773","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001","Catende","PE","Municipal","rua bela vista","5780/2013","atrasada"
"1001902","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  002","Catende","PE","Municipal","rua da estrada","5781/2013","atrasada"
"2176","830450 - Escola de Educação Infantil - Catingueira/PB","Catingueira","PB","Municipal","rua jose pires sobrinho","830450/2007","paralisada"
"1006033","Centro de Educação Infantil","Catu","BA","Municipal","rua caminho das árvores","7171/2013","atrasada"
"1005908","EMEF GIRASSOL - Catuípe - RS","Catuípe","RS","Municipal","rua magdalena possobon","17645/2014","atrasada"
"1011832","FUMAÇA - Catuji - MG","Catuji","MG","Municipal","comunidade fumaça","17476/2014","atrasada"
"19671","CAPUAN","Caucaia","CE","Municipal","rua coronel pinho","11032/2014","atrasada"
"19872","CONJUNTO METROPOLITANO","Caucaia","CE","Municipal","rua alfredo bezerra","11418/2014","paralisada"
"19883","ARATURI","Caucaia","CE","Municipal","rua sem denominação","11032/2014","atrasada"
"19885","MIRAMBÉ","Caucaia","CE","Municipal","rodovia raimundo pessoa de aaujo","11418/2014","paralisada"
"19888","PARQUE SOLEDADE","Caucaia","CE","Municipal","rua 2","11032/2014","atrasada"
"25627","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Cavalcante","GO","Municipal","rua das palmeiras (207) quadra 12","2653/2012","atrasada"
"1009395","Santo Antonio - Caxias - MA","Caxias","MA","Municipal","santo antonio","22532/2014","atrasada"
"1016511","EEI CAMPOS DA SERRA - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua joaquim longo","10083/2014","atrasada"
"1017111","EEI PARQUE DAS ROSAS - Caxias do Sul - RS","Caxias do Sul","RS","Municipal","rua darci joão facchini","10830/2014","atrasada"
