"id","nome","municipio","uf","avaliacao_observatorios","responsabilidade","atrasada","nao_iniciada","execucao","sem_end","status_segundo_tbrasil","status_segundo_simec"
"25133","Creche Alaor Silveira","Palhoça","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25134","Creche Loteamento Mirian II","Palhoça","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25135","Creche Caminho Novo","Palhoça","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1006536","Área Institucional Loteamento Igaraty - Palhoça - SC","Palhoça","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"19337","JARDIM IGUAÇU","Paranaguá","PR","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25356","LOCALIDADE CAIC","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25357","Labra","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25358","Jardim Esperança","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25359","Alexandra","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25360","Porto dos Padres","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1005814","DIVINÉIA - Paranaguá - PR","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1009214","Beira Rio","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"18129","EMEI SANGA FUNDA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"19600","LOTEAMENTO EUCALIPTO","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20024","EMEI MONTE BONITO","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"20029","EMEI SÍTIO FLORESTA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20033","LOTEAMENTO DUNAS","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20061","EMEI Z3","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"20179","VILA PRINCESA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"24619","EMEI Getulio Vargas","Pelotas","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Em Reformulação"
"24620","EMEI Governaço","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24621","EMEI Navegantes","Pelotas","RS","Execução","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24622","EMEI Farroupilha","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"24623","EMEI Loteamento Eldorado","Pelotas","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Em Reformulação"
"1009321","Vasco Pires - Pelotas - RS","Pelotas","RS","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1009322","Laranjal - Pelotas - RS","Pelotas","RS","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"17717","700195/11 - EE Infantil - Vila Romana - Ponta Grrossa/PR","Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"17718","700195/11 - EE Infantil - Vila Cristina - Ponta Grrossa/PR","Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"17720","700195/11 - EE Infantil - 31 de Março - Ponta Grrossa/PR","Ponta Grossa","PR","Execução","Municipal",0,0,0,0,"paralisada","Paralisada"
"19529","CMEI DO JARDIM PANAMÁ","Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"19531","CMEI DA VILA CRISTINA","Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"19536","CMEI DO PARQUE TAROBA","Ponta Grossa","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"25309","CMEI JARDIM DOS MANACÁS","Ponta Grossa","PR","Concluída","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"25311",NA,"Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"25312","CMEI VILA ELISEU CAMPOS MELLO","Ponta Grossa","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"8969","657111 - Esc. Educ. Infantil - Tipo B - SANTA MARIA/RS","Santa Maria","RS","-","Municipal",1,0,0,0,"paralisada e atrasada","Inacabada"
"13418","704173 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - SANTA MARIA/RS","Santa Maria","RS","-","Municipal",1,0,0,1,"atrasada","Execução"
"19778","Estação dos Ventos","Santa Maria","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"19910","Vila São João Batista","Santa Maria","RS","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"19965","Diácono Luiz Pozzobom","Santa Maria","RS","Paralisada","Municipal",0,0,0,0,"paralisada","Paralisada"
"20098","Vila Jardim","Santa Maria","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24531","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV 001","Santa Maria","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"24532","Residencial Lopes","Santa Maria","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Em Reformulação"
"24533","PAC_ DOM LUIZ VICTOR SARTORI","Santa Maria","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"24534","PAC 2 - CRECHE Municipal Bairro Nossa Senhora da Medianeira","Santa Maria","RS","Paralisada","Municipal",0,0,0,0,"paralisada","Paralisada"
"24535","PAC 2 - CRECHE SANTA MARTA","Santa Maria","RS","Paralisada","Municipal",0,0,0,0,"paralisada","Licitação"
"24536","PAC 2 - CRECHE/PRÉ-ESCOLA 002 LOTEAMENTO MONTE BELO-CAMOBI","Santa Maria","RS","Paralisada","Municipal",0,0,0,0,"paralisada","Licitação"
"31256","Construção","Santa Maria","RS","-",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25206","CEI Majorca","São Francisco do Sul","SC","Paralisada","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"1014175","Iperoba - São Francisco do Sul - SC","São Francisco do Sul","SC","Paralisada","Municipal",0,0,1,0,"em andamento","Execução"
"24484","PAC 2 - CRECHE/PRÉ-ESCOLA 005","São José dos Campos","SP","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1010716","PAC 2 - CRECHE/PRÉ-ESCOLA 002","São José dos Campos","SP","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1010717","PAC 2 - CRECHE/PRÉ-ESCOLA 003 TIPO I","São José dos Campos","SP","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1001904","Creche Municipal JARDIM OÁSIS - Taubaté - SP","Taubaté","SP","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra",NA
"1006108","Creche Municipal HÍPICA PINHEIRO","Taubaté","SP","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1006109","Creche Municipal PORTAL DA MANTIQUEIRA","Taubaté","SP","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1006110","Creche Municipal FAZENDINHA","Taubaté","SP","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"4443","700302 - EE Infantil - Canaã II - Uberlândia/MG","Uberlândia","MG","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Inacabada"
"7895","710390 - E Educ Infantil C- Jd. Palmeiras II - Uberlândia/MG","Uberlândia","MG","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
