"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"2865","EMEB SANTA RITA DE CASSIA - Bom Jardim - MA","Municipal","Bom Jardim","MA","povoado vila do aeroporto","22454/2014","2015-02-03","224633","1126198","paralisada / já devia ter sido entregue"
"2866","EMEB BOM JESUS - Bom Jardim - MA","Municipal","Bom Jardim","MA","rua do josemar","22454/2014","2015-02-03","224404","1125050","paralisada / já devia ter sido entregue"
"2867","Santo Antonio - Caxias - MA","Municipal","Caxias","MA","santo antonio","22532/2014","2018-08-31","1058213","1220944","em andamento / já devia ter sido entregue"
"2868","E.M. POVOADO PORTO DO SIBIL - Formosa da Serra Negra - MA","Municipal","Formosa da Serra Negra","MA","rua principal do povoado","22538/2014","2018-08-20","0","1220293","em andamento / já devia ter sido entregue"
"2869","Povoado São João da Mata - Governador Luiz Rocha - MA","Municipal","Governador Luiz Rocha","MA","estrada vicinal","22557/2014","2016-11-24","591667","1219120","paralisada / já devia ter sido entregue"
"2870","E.M POVOADO FILIPA - Itapecuru Mirim - MA","Municipal","Itapecuru Mirim","MA","povoado filipa","22572/2014","2018-12-31","325090","1221048","paralisada"
"2871","POVOADO SERRINHA - Jenipapo dos Vieiras - MA","Municipal","Jenipapo dos Vieiras","MA","rua principal","22578/2014","2018-08-21","152036","291677","em andamento / já devia ter sido entregue"
"2872","POVOADO CENTRO DO EDIMAR - Jenipapo dos Vieiras - MA","Municipal","Jenipapo dos Vieiras","MA","rua projetada","22578/2014","2018-08-21","59475","297399","em andamento / já devia ter sido entregue"
"2873","POVOADO CINTURÃO - Jenipapo dos Vieiras - MA","Municipal","Jenipapo dos Vieiras","MA","rua principal","22578/2014","2018-08-22","673074","1221443","em andamento / já devia ter sido entregue"
"2874","POV. SÃO PEDRO - Palmeirândia - MA","Municipal","Palmeirândia","MA","rua principal","22611/2014",NA,"415083","1221893","paralisada"
"2875","UNIDADE INTEGRADA EVILÁSIO MENDES - Pedro do Rosário - MA","Municipal","Pedro do Rosário","MA","rio dos peixes","22612/2014","2018-08-13","246930","1221243","em andamento / já devia ter sido entregue"
"2876","COCO - Pinheiro - MA","Municipal","Pinheiro","MA","rua principal do povoado","22616/2014",NA,"160723","1108280","paralisada"
