"Usuário","ID da OBRA","Nome da Obra","Comentário","ID das Incongruências"
"TDP2018","5634","806017 - Projeto Escola Padrão SEDUC/MT  - 02 salas -  - Construção - General Carneiro/MT",NA,"8"
"TDP2018","5648","700223 - Espaço Educativo Urbano II - 04 Salas - Bonfim/RR",NA,"7;8"
"TDP2018","5662","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Feijó/AC",NA,"8"
"TDP2018","5663","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Feijó/AC",NA,"8"
"TDP2018","5664","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5665","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5666","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5667","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5668","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5669","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5670","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Tarauacá/AC",NA,"8"
"TDP2018","5671","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Marechal Thaumaturgo/AC",NA,"8"
"TDP2018","5672","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Porto Walter/AC",NA,"8"
"TDP2018","5673","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Porto Walter/AC",NA,"8"
"TDP2018","5674","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Porto Walter/AC",NA,"8"
"TDP2018","5675","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Porto Walter/AC",NA,"8"
"TDP2018","5680","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Assis Brasil/AC",NA,"8"
"TDP2018","5681","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Feijó/AC",NA,"8"
"TDP2018","5682","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Feijó/AC",NA,"8"
"TDP2018","5686","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Feijó/AC",NA,"8"
"TDP2018","5694","806022 - Projeto Padrão SEDUC/AC - 01 sala -  - Construção - Assis Brasil/AC",NA,"8"
"TDP2018","5695","806021 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Humaitá/AM",NA,"8"
"TDP2018","5696","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
"TDP2018","5697","806021 - Espaço Educativo Urbano II - 06 salas -  - Construção - São Gabriel da Cachoeira/AM",NA,"8"
