"id","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","total_pago","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"1009507","EMEF RISOLETA NEVES - Anapu - PA","Anapu","PA","Municipal","rua mendes jr.","2014","159574.2",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-23,2018-08-23,"2018","Espaço Educativo - 02 Salas",0
"1009508","EMEF SANTO ANTONIO(ANEXO) - Anapu - PA","Anapu","PA","Municipal","vicinal ii","2014","133024.63",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2016-03-29,2016-03-29,"2016","Espaço Educativo - 01 Sala",0
"1009509","EMEF BRASIL GRANDE - Anapu - PA","Anapu","PA","Municipal","br.230(transamazonica)","2014","171849.13",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-03,2018-08-03,"2018","Espaço Educativo - 02 Salas",0
"1009510","EMEF HORAS ALEGRES - Anapu - PA","Anapu","PA","Municipal","ramal das araras","2014","47888.86",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-03,2018-08-03,"2018","Espaço Educativo - 01 Sala",0
"1009511","EMEF BOM JESUS - Anapu - PA","Anapu","PA","Municipal","vicinal bom jesus","2014","47888.86",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-03,2018-08-03,"2018","Espaço Educativo - 01 Sala",0
"1009512","EMEF PAULO FREIRE - Anapu - PA","Anapu","PA","Municipal","vicinal agua preta","2014","129033.89",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2016-03-28,2016-03-28,"2016","Espaço Educativo - 01 Sala",0
"1009513","EMEF DOROTHY STANG - Anapu - PA","Anapu","PA","Municipal","vicinal 55","2014","133024.62",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2015-10-14,2015-10-14,"2015","Espaço Educativo - 01 Sala",0
"1009514","EMEF SALVATORE DEIANE - Anapu - PA","Anapu","PA","Municipal","pa 167","2014","46558.61",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-27,2018-08-27,"2018","Espaço Educativo - 01 Sala",0
"1009515","EMEF SÃO JOSÉ II - Anapu - PA","Anapu","PA","Municipal","rua da escola","2014","245709.67",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","22299/2014",2016-08-23,2016-08-23,"2016","Espaço Educativo - 02 Salas",0
"1009516","EMEF  SÃO RAIMUNDO NONATO - Anapu - PA","Anapu","PA","Municipal","trav,pau furado","2014","66512.31",0,0,0,0,1,1,0,"execucao","em andamento e já devia ter sido entregue","Execução","2018","22299/2014",2018-08-27,2018-08-27,"2018","Espaço Educativo - 01 Sala",0
