"id","mes_ano","valor_do_pagamento","pagamento_cte_ago2018","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","valor_pactuado_com_o_fnde","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"8969","06/2012",323139.34,440834,"657111 - Esc. Educ. Infantil - Tipo B - SANTA MARIA/RS","Santa Maria","RS","Municipal","rua venâncio aires","2009","1305613.49",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","657111/2009",2018-06-07,2018-06-07,"2018","Escola de Educação Infantil Tipo B",1
"13408","12/2011",627943.69,860403,"703277 - Esc. Educ. Infantil - Tipo B - Proinfância - Construção - GRAVATAÍ/RS","Gravataí","RS","Municipal","Não informado","2010","914410.54",0,0,0,1,0,0,1,"não iniciada","não iniciada","Planejamento pelo proponente","","703277/2010",NA,NA,NA,"MI - Escola de Educação Infantil Tipo B",1
"13418","12/2011",307383.23,421174,"704173 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - SANTA MARIA/RS","Santa Maria","RS","Municipal","Não informado","2010","614766.46",0,0,0,0,1,1,1,"execucao","em andamento e já devia ter sido entregue","Execução","","704173/2010",2018-08-20,2018-08-20,"2018","Escola de Educação Infantil Tipo C",1
"17386","01/2012",262345.22,359463,"700068/11 - Escola de Educação Infantil - Palhoça/SC","Palhoça","SC","Municipal","rua vt-20.","2011","524690.44",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Paralisada","","700068/2011",2018-12-31,2013-05-21,"2013","Escola de Educação Infantil Tipo C",1
"17717","01/2012",5266800,7216521,"700195/11 - EE Infantil - Vila Romana - Ponta Grrossa/PR","Ponta Grossa","PR","Municipal","rua edmundo kruger","2011","0",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","","700195/2011",2014-04-15,2014-04-15,"2014","MI - Escola de Educação Infantil Tipo B",1
"17718","01/2012",5266800,7216521,"700195/11 - EE Infantil - Vila Cristina - Ponta Grrossa/PR","Ponta Grossa","PR","Municipal","rua casemiro reis/rua paes de andrade/ rua martins pena","2011","0",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","","700195/2011",2014-04-15,2014-04-15,"2014","MI - Escola de Educação Infantil Tipo B",1
"17720","01/2012",5266800,7216521,"700195/11 - EE Infantil - 31 de Março - Ponta Grrossa/PR","Ponta Grossa","PR","Municipal","rua abílio holzmann/bairro dos neves","2011","0",0,0,1,0,0,0,0,"paralisada","paralisada","Paralisada","","700195/2011",2018-12-09,2018-12-09,"2018","Escola de Educação Infantil Tipo B",1
"18129","08/2011",171901.53,240260,"EMEI SANGA FUNDA","Pelotas","RS","Municipal","avenida engenheiro ildefonso simões lopes","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"19337","06/2013",320417.13,409466,"JARDIM IGUAÇU","Paranaguá","PR","Municipal","rua conselheiro sinimbú","2011","1281668.52",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2016","224/2011",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"19337","11/2012",384500.56,508647,"JARDIM IGUAÇU","Paranaguá","PR","Municipal","rua conselheiro sinimbú","2011","1281668.52",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2016","224/2011",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"19337","07/2011",256333.7,360238,"JARDIM IGUAÇU","Paranaguá","PR","Municipal","rua conselheiro sinimbú","2011","1281668.52",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2016","224/2011",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"19529","12/2016",216103.25,218266,"CMEI DO JARDIM PANAMÁ","Ponta Grossa","PR","Municipal","rua dois","2014","1497430.54",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11177/2014",NA,2013-04-09,"2013","MI - Escola de Educação Infantil Tipo B",1
"19529","10/2012",437779.08,583008,"CMEI DO JARDIM PANAMÁ","Ponta Grossa","PR","Municipal","rua dois","2014","1497430.54",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11177/2014",NA,2013-04-09,"2013","MI - Escola de Educação Infantil Tipo B",1
"19529","07/2011",225408.9,316778,"CMEI DO JARDIM PANAMÁ","Ponta Grossa","PR","Municipal","rua dois","2014","1497430.54",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11177/2014",NA,2013-04-09,"2013","MI - Escola de Educação Infantil Tipo B",1
"19531","10/2012",84241.17,112187,"CMEI DA VILA CRISTINA","Ponta Grossa","PR","Municipal","rua paes de andrade","2014","808307.38",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11177/2014",NA,2013-02-08,"2013","MI - Escola de Educação Infantil Tipo C",1
"19531","07/2011",224008.9,314810,"CMEI DA VILA CRISTINA","Ponta Grossa","PR","Municipal","rua paes de andrade","2014","808307.38",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11177/2014",NA,2013-02-08,"2013","MI - Escola de Educação Infantil Tipo C",1
"19536","10/2012",82841.22,110323,"CMEI DO PARQUE TAROBA","Ponta Grossa","PR","Municipal","rua miguel dropa","2014","807158.38",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","2019","11177/2014",NA,NA,NA,"MI - Escola de Educação Infantil Tipo C",1
"19536","07/2011",225408.9,316778,"CMEI DO PARQUE TAROBA","Ponta Grossa","PR","Municipal","rua miguel dropa","2014","807158.38",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","2019","11177/2014",NA,NA,NA,"MI - Escola de Educação Infantil Tipo C",1
"19600","12/2016",11967.71,12087,"LOTEAMENTO EUCALIPTO","Pelotas","RS","Municipal","rua dos açores","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
